genes	TCGA-55-8615-01A-11R-2403-07	TCGA-50-5051-01A-21R-1858-07	TCGA-NJ-A7XG-01A-12R-A39D-07	TCGA-91-6848-01A-11R-1949-07	TCGA-MP-A4T8-01A-11R-A24X-07	TCGA-55-6970-01A-11R-1949-07	TCGA-86-8359-01A-11R-2326-07	TCGA-64-1679-01A-21R-2066-07	TCGA-50-6595-01A-12R-1858-07	TCGA-99-8025-01A-11R-2241-07	TCGA-50-6594-01A-11R-1755-07	TCGA-64-1677-01A-01R-0946-07	TCGA-05-5420-01A-01R-1628-07	TCGA-75-5126-01A-01R-1755-07	TCGA-91-6849-01A-11R-1949-07	TCGA-99-7458-01A-11R-2039-07	TCGA-MP-A4TC-01A-11R-A24X-07	TCGA-05-4384-01A-01R-1755-07	TCGA-49-6745-01A-11R-1858-07	TCGA-95-A4VP-01A-21R-A262-07
ENSG00000000003	3416.91763145636	4488.69218862152	3724.1995696292	2540.97063565749	3363.32912934464	4642.86608237126	2582.4960617833	3082.83324570852	1850.38079401085	3087.48184341479	5639.52317462728	2573.86599344878	4955.2504681577	3357.89522871129	4896.28743574817	3160.75207116389	3583.69193889459	2468.42216832944	3019.99383506564	6841.103518311
ENSG00000000005	3.94183804822226	2.3367255134598	1.40043506724756	2.16891213282422	2.67559000585148	3.6216537714268	3.99161467610262	1.59075413539257	2.2153030741013	6.17784594107055	1.23416560008563	139.975266708195	1.83045124528675	5.83090772698687	3.6011358867386	3.21582702290753	2.9169006176961	2.65850544120575	2.74176065058539	2.85256349936815
ENSG00000000419	781.173815553097	889.916056735264	1502.41711589642	1432.71628824526	1444.98376147332	1588.57388898165	2717.46518486095	1147.27914892594	1664.71251484982	1121.07286993531	1761.23467527517	1638.20661004144	1709.476512383	1930.29441121384	1600.7910415566	1428.58113725294	1260.99077763278	1548.65906039895	1451.82611859235	1109.97395826972
ENSG00000000457	416.435602453665	563.107369680225	566.254215223987	397.489352891925	472.834133483286	549.725628309109	771.591212619154	508.56449276783	475.053713642096	733.438969490534	427.327403624187	327.756240121028	625.877629485483	443.73801674478	690.423068718887	565.139834928128	503.110375322936	583.419632614747	521.566204418758	619.055263565276
ENSG00000000460	477.885358441127	554.881582534379	747.535580208618	456.068472936449	464.765405648773	612.804795788554	559.011646916795	628.547323789663	608.5898369219	574.748288808695	659.338977156503	329.251368082731	514.13188499056	487.944036668673	547.693399147618	482.154327675687	436.444930520012	497.254841067679	577.851343854757	822.74027513446
ENSG00000000938	1295.89328124884	634.583129683081	479.039183821141	1078.22887897835	522.63863493387	641.469867140583	963.435809131969	550.093314577219	553.307954418884	633.082383449235	905.8999458552	991.149561935186	960.310217714399	617.726925124262	1961.12816742741	684.098697152506	676.221693489045	822.872538133002	727.87038467082	711.706065278877
ENSG00000000971	6989.82704024479	2725.69539106386	16959.074894581	4583.25652134791	2217.74658683098	7703.95544731975	1642.3787091333	4287.11595614387	6585.17911315202	6516.73748151115	7797.88806403205	4238.92434429455	22842.0637475121	2815.05069100595	14620.1178653859	1733.69525952939	9427.46646424785	2944.76462109828	3807.84955470114	6110.04952131559
ENSG00000001036	2698.24355617837	2082.61640162642	2028.84919512173	2735.69881643987	3467.93540378154	3222.60368747311	2016.63074932874	2611.92437104435	4305.19802349205	2405.38118094808	3597.36012732037	2587.83374509331	1835.22215811684	3788.9280175745	3371.26292301238	2740.81902301795	3073.10157363812	2027.8537983749	2948.99637100878	2334.9096110521
ENSG00000001084	10830.3403764028	1673.34859770418	558.405313059512	2593.8313665868	1078.75240895558	10226.9288812717	2193.82580081605	1547.34637373141	911.628410240513	350.613252331819	3445.43928844541	29749.1853544018	1765.69731673393	20964.3126861718	2162.7510199841	3636.76473021219	2436.34180786931	2585.72320196922	2348.04379788573	3075.0866559486
ENSG00000001167	3305.37795385027	1289.8914020676	1604.89059465086	1545.85349998778	1631.25404804806	2611.77167691206	2694.42069510401	1443.44053907698	2329.8238099088	1530.86116630098	2701.01518439866	2776.75811866754	1672.31923604541	1432.96014112934	1995.59950657935	2015.97343100927	1130.94431045747	1837.52771960017	1796.71178410648	1962.03464352118
